Increments,Abscissas in µm,Raw data,Smoothed data,Raw - Smoothed data,Smoothed data*Gain + Offset
0,0.000,46649,39074.281,7574.719,47015.080
1,6.507,48724,40211.670,8512.330,48470.937
2,13.013,50543,41266.450,9276.550,49821.055
3,19.520,51959,42176.839,9782.161,50986.354
4,26.026,52917,42902.016,10014.984,51914.581
5,32.533,53478,43425.795,10052.205,52585.017
6,39.039,53761,43747.380,10013.620,52996.647
7,45.546,53864,43868.586,9995.414,53151.790
8,52.052,53823,43821.140,10001.860,53091.059
9,58.559,53628,43552.078,10075.922,52746.660
10,65.065,53232,43051.766,10180.234,52106.261
11,71.572,52562,42340.520,10221.480,51195.865
12,78.078,51524,41386.946,10137.054,49975.291
13,84.585,50020,40189.925,9830.075,48443.105
14,91.091,48014,38764.700,9249.300,46618.816
15,97.598,45557,37148.403,8408.597,44549.956
16,104.104,42789,35400.761,7388.239,42312.974
17,110.611,39896,33596.086,6299.914,40002.990
18,117.117,38461,31952.671,6508.329,37899.419
19,123.624,35713,30188.914,5524.086,35641.811
20,130.130,33218,28516.635,4701.365,33501.293
21,136.637,31054,26990.573,4063.427,31547.933
22,143.143,29265,25651.765,3613.235,29834.259
23,149.650,27874,24526.305,3347.695,28393.670
24,156.156,26870,23625.915,3244.085,27241.172
25,162.663,26211,22948.776,3262.224,26374.433
26,169.169,25826,22459.143,3366.857,25747.703
27,175.676,25644,22171.418,3472.582,25379.415
28,182.182,25610,22071.235,3538.765,25251.180
29,188.689,25708,22150.830,3557.170,25353.063
30,195.195,25888,22386.787,3501.213,25655.087
31,201.702,26253,22803.765,3449.235,26188.819
32,208.208,26865,23411.928,3453.072,26967.267
33,214.715,27777,24218.341,3558.659,27999.477
34,221.221,29018,25222.111,3795.889,29284.302
35,227.728,30592,26411.520,4180.480,30806.746
36,234.234,32479,27755.143,4723.857,32526.583
37,240.741,33887,29151.513,4735.487,34313.936
38,247.247,36241,30737.838,5503.162,36344.433
39,253.754,38777,32393.137,6383.863,38463.215
40,260.260,41376,34055.874,7320.126,40591.519
41,266.767,43877,35658.732,8218.268,42643.177
42,273.273,46105,37139.191,8965.809,44538.165
43,279.780,47556,38406.249,9149.751,46159.999
44,286.286,49063,39534.809,9528.191,47604.556
45,292.793,50090,40468.099,9621.901,48799.167
46,299.299,50728,41200.501,9527.499,49736.642
47,305.806,51096,41758.182,9337.818,50450.472
48,312.312,51298,42168.003,9129.997,50975.044
49,318.819,51535,42472.122,9062.878,51364.316
50,325.325,51589,42665.620,8923.380,51611.993
51,331.832,51606,42795.284,8810.716,51777.964
52,338.338,51610,42867.621,8742.379,51870.555
53,344.845,51610,42896.029,8713.971,51906.917
54,351.351,51740,42898.078,8841.922,51909.540
55,357.858,51720,42834.893,8885.107,51828.664
56,364.364,51662,42722.259,8939.741,51684.491
57,370.871,51542,42527.792,9014.208,51435.574
58,377.377,51581,42257.447,9323.553,51089.532
59,383.884,51294,41834.207,9459.793,50547.785
60,390.390,50812,41276.047,9535.953,49833.340
61,396.897,50041,40543.631,9497.369,48895.847
62,403.403,48867,39620.027,9246.973,47713.635
63,409.910,48043,38592.841,9450.159,46398.837
64,416.416,46072,37313.359,8758.641,44761.099
65,422.923,43709,35880.645,7828.355,42927.225
66,429.429,41156,34360.944,6795.056,40982.009
67,435.936,39657,32943.048,6713.952,39167.101
68,442.442,37208,31431.927,5776.073,37232.867
69,448.949,34997,29999.837,4997.163,35399.791
70,455.455,33072,28697.371,4374.629,33732.635
71,461.962,32037,27605.546,4431.454,32335.099
72,468.468,30646,26619.259,4026.741,31072.651
73,474.975,29662,25840.523,3821.477,30075.870
74,481.481,29213,25284.861,3928.139,29364.622
75,487.988,28818,24887.250,3930.750,28855.681
76,494.494,28680,24690.199,3989.801,28603.455
77,501.001,28728,24683.761,4044.239,28595.213
78,507.508,28780,24825.864,3954.136,28777.106
79,514.014,29134,25160.366,3973.634,29205.268
80,520.521,29759,25701.767,4057.233,29898.262
81,527.027,30220,26376.308,3843.692,30761.674
82,533.534,31390,27303.226,4086.774,31948.129
83,540.040,32931,28440.401,4490.599,33403.714
84,546.547,34849,29743.060,5105.940,35071.117
85,553.053,36046,31082.018,4963.982,36784.983
86,559.560,38556,32659.658,5896.342,38804.362
87,566.066,41372,34311.783,7060.217,40919.082
88,572.573,42985,35824.191,7160.809,42854.964
89,579.079,45914,37438.497,8475.503,44921.276
90,585.586,48573,38914.126,9658.874,46810.081
91,592.092,49784,40050.986,9733.014,48265.263
92,598.599,51472,41016.891,10455.109,49501.621
93,605.105,52429,41677.144,10751.856,50346.745
94,611.612,52621,41964.603,10656.397,50714.692
95,618.118,52677,41939.592,10737.408,50682.678
96,624.625,52215,41603.129,10611.871,50252.005
97,631.131,51546,40953.286,10592.714,49420.205
98,637.638,49971,39934.940,10036.060,48116.724
99,644.144,47704,38644.956,9059.044,46465.544
100,650.651,45989,37241.950,8747.050,44669.697
101,657.157,43096,35597.690,7498.310,42565.043
102,663.664,40174,33900.286,6273.714,40392.366
103,670.170,38374,32332.092,6041.908,38385.078
104,676.677,35790,30727.852,5062.148,36331.651
105,683.183,33580,29253.611,4326.389,34444.623
106,689.690,32393,28026.032,4366.968,32873.321
107,696.196,30885,26915.287,3969.713,31451.568
108,702.703,30147,26035.420,4111.580,30325.338
109,709.209,29267,25302.054,3964.946,29386.630
110,715.716,28703,24765.671,3937.329,28700.058
111,722.222,28482,24409.085,4072.915,28243.628
112,728.729,28292,24199.598,4092.402,27975.485
113,735.235,28263,24152.629,4110.371,27915.365
114,741.742,28316,24229.822,4086.178,28014.173
115,748.248,28542,24469.489,4072.511,28320.946
116,754.755,28787,24854.303,3932.697,28813.508
117,761.261,29412,25417.402,3994.598,29534.275
118,767.768,30380,26175.039,4204.961,30504.050
119,774.274,31139,27039.661,4099.339,31610.766
120,780.781,32724,28143.296,4580.704,33023.419
121,787.287,33843,29328.597,4514.403,34540.604
122,793.794,36054,30738.529,5315.471,36345.318
123,800.300,38616,32263.605,6352.395,38297.414
124,806.807,40225,33713.548,6511.452,40153.342
125,813.313,43040,35293.694,7746.306,42175.929
126,819.820,44638,36693.281,7944.719,43967.400
127,826.326,47094,38118.491,8975.509,45791.668
128,832.833,49031,39367.823,9663.177,47390.814
129,839.339,49882,40364.242,9517.758,48666.230
130,845.846,50913,41226.448,9686.552,49769.853
131,852.352,51325,41868.952,9456.048,50592.259
132,858.859,51785,42394.782,9390.218,51265.321
133,865.365,51982,42762.044,9219.956,51735.416
134,871.872,52189,43035.713,9153.287,52085.713
135,878.378,52279,43196.912,9082.088,52292.048
136,884.885,52331,43269.691,9061.309,52385.205
137,891.391,52299,43272.250,9026.750,52388.480
138,897.898,52248,43200.429,9047.571,52296.550
139,904.404,52115,43054.884,9060.116,52110.251
140,910.911,51980,42823.864,9156.136,51814.546
141,917.417,51726,42481.255,9244.745,51376.007
142,923.924,51436,42030.110,9405.890,50798.540
143,930.430,50898,41423.910,9474.090,50022.605
144,936.937,50249,40678.202,9570.798,49068.098
145,943.443,49113,39737.715,9375.285,47864.276
146,949.950,47884,38658.379,9225.621,46482.725
147,956.456,45945,37378.032,8566.968,44843.881
148,962.963,43633,35968.872,7664.128,43040.157
149,969.469,41713,34549.342,7163.658,41223.158
150,975.976,39219,33051.510,6167.490,39305.933
151,982.482,37426,31654.455,5771.545,37517.702
152,988.989,35302,30275.809,5026.191,35753.035
153,995.495,33916,29066.127,4849.873,34204.643
154,1002.002,32373,27940.785,4432.215,32764.205
155,1008.509,31429,27005.289,4423.711,31566.771
156,1015.015,30453,26193.179,4259.821,30527.270
157,1021.522,29868,25541.892,4326.108,29693.622
158,1028.028,29344,25013.922,4330.078,29017.820
159,1034.535,28993,24601.619,4391.381,28490.072
160,1041.041,28757,24290.803,4466.197,28092.228
161,1047.548,28533,24049.562,4483.438,27783.439
162,1054.054,28462,23884.497,4577.503,27572.157
163,1060.561,28314,23754.586,4559.414,27405.870
164,1067.067,28349,23680.139,4668.861,27310.577
165,1073.574,28245,23616.088,4628.912,27228.593
166,1080.080,28332,23591.249,4740.751,27196.799
167,1086.587,28242,23558.273,4683.727,27154.590
168,1093.093,28333,23556.092,4776.908,27151.797
169,1099.600,28241,23540.282,4700.718,27131.561
170,1106.106,28320,23550.867,4769.133,27145.109
171,1112.613,28232,23549.959,4682.041,27143.947
172,1119.119,28317,23578.375,4738.625,27180.320
173,1125.626,28256,23602.908,4653.092,27211.723
174,1132.132,28214,23650.774,4563.226,27272.990
175,1138.639,28356,23746.127,4609.873,27395.043
176,1145.145,28366,23867.539,4498.461,27550.450
177,1151.652,28580,24057.033,4522.967,27793.002
178,1158.158,28672,24299.679,4372.321,28103.588
179,1164.665,29039,24643.232,4395.768,28543.337
180,1171.171,29287,25051.945,4235.055,29066.489
181,1177.678,29966,25619.211,4346.789,29792.590
182,1184.184,30501,26273.740,4227.260,30630.387
183,1190.691,31688,27123.723,4564.277,31718.365
184,1197.197,32609,28052.344,4556.656,32907.000
185,1203.704,34402,29189.029,5212.971,34361.957
186,1210.210,35712,30356.354,5355.646,35856.133
187,1216.717,37146,31604.033,5541.967,37453.163
188,1223.223,39607,33021.977,6585.023,39268.131
189,1229.730,41212,34355.905,6856.095,40975.558
190,1236.236,43730,35775.100,7954.900,42792.128
191,1242.743,45221,37018.641,8202.359,44383.860
192,1249.249,47302,38244.339,9057.661,45952.753
193,1255.756,48392,39239.513,9152.487,47226.577
